draymond-green,2020,2019-20,11.3,8.7,8.7,48.9,37.1,13.7,17.6,11.8,2020-21,9.0,9.1,11.3,53.0,47.9,16.1,15.5,0.2
duncan-robinson,2021,2020-21,16.7,4.4,2.2,62.8,13.3,8.5,15.9,0.1,2021-22,16.9,4.0,2.5,57.3,13.7,6.4,17.2,0.1
dwight-howard,2021,2020-21,16.1,19.4,2.0,61.0,10.7,19.7,17.6,0.4,2021-22,15.3,14.7,1.4,65.7,9.6,12.9,13.8,0.3
dwight-powell,2020,2019-20,14.2,8.6,2.2,67.7,15.8,9.7,12.7,11.2,2020-21,14.2,9.7,2.6,68.8,17.9,11.4,13.1,0.2
eric-bledsoe,2019,2018-19,21.8,6.4,7.6,57.7,25.8,9.9,23.6,8.1,2019-20,22.1,6.9,8.0,57.1,25.7,11.6,24.6,8.5
eric-gordon,2020,2019-20,20.5,2.8,2.1,51.0,8.9,7.1,21.7,3.7,2020-21,24.4,2.9,3.6,57.7,13.2,9.5,24.4,0.1
evan-fournier,2021,2020-21,8.8,2.25,2.1,29.2,9.95,3.85,9.1,2.7,2021-22,19.1,3.6,2.9,55.4,13.2,8.1,20.4,0.1
frank-ntilikina,2021,2020-21,11.1,3.9,2.4,51.2,16.3,9.4,13.4,0.1,2021-22,14.0,4.6,4.0,51.3,20.7,9.3,17.3,0.1
giannis-antetokounmpo,2021,2020-21,34.1,13.3,7.1,63.3,18.6,10.8,32.5,0.3,2021-22,36.3,14.1,7.0,63.3,17.7,10.0,34.5,0.3
goran-dragic,2021,2020-21,20.1,5.1,6.6,55.2,23.2,12.5,24.6,0.1,2021-22,5.75,2.5,3.75,23.0,16.25,6.95,9.0,3.55
gordon-hayward,2020,2019-20,20.9,8.0,4.9,59.5,19.8,9.0,21.6,10.7,2020-21,23.1,6.9,4.8,58.4,17.9,9.0,24.0,0.2
gorgui-dieng,2021,2020-21,9.4,4.65,2.1,32.4,10.05,5.3,9.1,6.75,2021-22,16.6,13.0,3.7,62.4,19.2,11.3,16.8,0.3
harrison-barnes,2019,2018-19,8.4,3.25,1.1,28.9,6.2,3.5,11.4,3.75,2019-20,16.9,5.7,2.6,57.4,13.7,7.6,17.2,8.1
hassan-whiteside,2021,2020-21,21.5,15.8,1.5,56.6,6.3,12.5,22.2,0.4,2021-22,18.4,17.0,0.9,66.2,5.4,11.0,16.2,0.4
ivica-zubac,2019,2018-19,9.3,7.65,1.45,28.7,6.6,6.45,9.85,9.1,2019-20,18.0,16.4,2.5,65.1,13.6,10.1,16.3,21.3
jae-crowder,2020,2019-20,8.55,3.85,1.3,33.45,7.9,3.3,7.55,5.5,2020-21,14.6,6.8,3.1,57.4,18.0,7.8,15.4,0.2
jamal-murray,2020,2019-20,22.9,5.0,6.0,55.9,20.5,9.2,25.9,6.9,2020-21,23.9,4.6,5.4,59.2,19.3,9.0,25.0,0.1
james-harden,2019,2018-19,39.3,7.2,8.2,61.6,18.0,11.9,40.8,10.0,2019-20,37.6,7.2,8.2,62.6,19.1,11.5,36.5,9.4
jarrett-allen,2021,2020-21,8.7,6.55,1.1,32.45,6.3,5.7,8.25,9.45,2021-22,20.0,13.3,2.0,69.8,11.0,11.3,17.4,0.3
javale-mcgee,2021,2020-21,8.25,7.9,0.7,24.9,3.2,8.05,10.4,9.9,2021-22,23.2,16.9,1.4,65.1,6.3,14.8,21.3,0.4
jaylen-brown,2020,2019-20,24.0,7.5,2.4,58.3,9.5,10.1,24.1,10.1,2020-21,28.6,6.9,3.9,58.6,12.4,10.0,29.1,0.2
jayson-tatum,2021,2020-21,29.6,8.2,4.8,57.6,14.4,8.9,30.5,0.2,2021-22,30.0,8.9,4.9,57.8,14.4,9.3,31.2,0.2
jeremy-lamb,2019,2018-19,21.5,7.7,3.1,55.2,12.8,5.9,22.2,10.4,2019-20,17.9,6.2,3.0,54.7,14.3,7.4,19.2,8.5
jimmy-butler,2019,2018-19,11.0,3.2,2.4,28.45,9.3,3.45,11.7,4.15,2019-20,23.6,7.9,7.1,58.5,23.9,8.7,25.7,11.0
joe-harris,2020,2019-20,18.8,5.6,2.7,60.6,13.4,9.7,18.1,7.3,2020-21,18.2,4.6,2.4,66.3,14.0,6.7,15.6,0.1
joe-ingles,2021,2020-21,17.3,5.2,6.8,67.2,30.7,11.3,17.8,0.1,2021-22,11.6,4.7,5.6,55.1,31.7,9.2,14.2,0.1
joel-embiid,2018,2017-18,30.2,14.4,4.2,57.3,11.7,13.8,31.8,19.4,2018-19,32.7,16.2,4.3,59.3,12.0,11.6,32.7,21.4
john-collins,2021,2020-21,24.0,10.1,1.7,64.5,7.6,8.2,21.3,0.2,2021-22,21.1,10.2,2.4,61.0,11.2,6.8,19.6,0.2
john-wall,2019,2018-19,24.0,4.2,10.1,52.7,27.1,11.8,30.2,5.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jonas-valanciunas,2019,2018-19,14.4,7.7,1.55,29.7,5.0,6.2,12.35,10.55,2019-20,22.6,17.1,2.8,63.1,12.1,11.7,21.1,22.5
jordan-clarkson,2020,2019-20,12.6,2.25,1.25,28.45,4.7,4.15,13.0,3.05,2020-21,27.5,6.0,3.7,54.9,11.8,8.1,29.0,0.1
josh-hart,2021,2020-21,12.9,11.2,3.2,56.6,20.1,9.1,13.8,0.3,2021-22,12.4,3.35,2.7,31.1,9.45,5.55,12.45,6.0
jrue-holiday,2021,2020-21,21.9,5.6,7.5,59.2,26.1,9.3,23.0,0.1,2021-22,22.2,5.5,8.3,59.3,27.3,10.9,24.4,0.1
julius-randle,2019,2018-19,28.0,11.4,4.1,60.0,13.2,12.0,27.6,14.7,2019-20,24.0,12.0,3.8,53.8,12.8,12.4,27.8,15.9
justin-holiday,2020,2019-20,13.2,5.2,2.0,58.5,14.3,6.7,13.1,7.1,2020-21,13.9,4.7,2.2,57.1,14.2,6.5,13.5,0.1
justise-winslow,2021,2020-21,14.0,9.3,3.9,39.5,16.0,11.8,21.8,0.2,2021-22,8.0,4.7,2.15,23.25,9.35,3.5,10.15,7.0
jusuf-nurkic,2018,2017-18,21.7,13.6,2.7,52.8,10.2,13.1,25.1,18.5,2018-19,22.8,15.2,4.7,57.0,16.8,12.1,25.2,20.2
