Name,Point40Before,Point40After,Point40Change,Rebound40Before,Rebound40After,Rebound40Change,Assist40Before,Assist40After,Assist40Change,USGBefore,USGAfter,USGChange,ContractYear,ContractTotal,AveragePay,ContractLength,LargeContract,SeaonsLength,PerformanceBefore,PerformanceAfter,changePerformance,ChangeTeam
Derrick Rose,11.1,19.6,-8.5,2.15,4.9,-2.75,3.1,6.5,-3.4,12.3,23.2,-10.9,2021,"43,562,189.00","14,520,729.67",3,0,13,18,16.9,-1.1,0
Devin Booker,30.3,29.7,0.6,4.7,4.7,0,7.7,7.3,0.4,33.1,30.3,2.8,2019,"158,253,000.00","31,650,600.00",5,1,6,20.2,20.6,0.4,1
Dewayne Dedmon,21.5,15.8,5.7,16.4,14.5,1.9,2.3,1.8,0.5,18.4,16.1,2.3,2021,"2,389,641.00","2,389,641.00",1,0,8,24.6,15.9,-8.7,1
Domantas Sabonis,21.3,22.6,-1.3,14.3,13.3,1,5.7,7.4,-1.7,23.5,24.5,-1,2020,"74,900,000.00","18,725,000.00",4,1,5,20.7,20.6,-0.1,0
Donovan Mitchell,31.6,30.6,1,5.3,5,0.3,6.3,6.3,0,33.4,32.7,0.7,2021,"163,000,300.00","32,600,060.00",5,1,4,21.3,21.6,0.3,1
Draymond Green,11.3,9,2.3,8.7,9.1,-0.4,8.7,11.3,-2.6,17.6,15.5,2.1,2020,"99,666,362.00","24,916,590.50",4,1,9,12.5,13.3,0.8,1
Duncan Robinson,16.7,16.9,-0.2,4.4,4,0.4,2.2,2.5,-0.3,15.9,17.2,-1.3,2021,"90,000,000.00","18,000,000.00",5,1,3,11.1,10.7,-0.4,0
Dwight Howard,16.1,15.3,0.8,19.4,14.7,4.7,2,1.4,0.6,17.6,13.8,3.8,2021,"2,641,691.00","2,641,691.00",1,0,17,17.8,18.3,0.5,1
Dwight Powell,14.2,14.2,0,8.6,9.7,-1.1,2.2,2.6,-0.4,12.7,13.1,-0.4,2020,"33,240,375.00","11,080,125.00",3,0,6,16,16.8,0.8,0
Eric Bledsoe,21.8,22.1,-0.3,6.4,6.9,-0.5,7.6,8,-0.4,23.6,24.6,-1,2019,"70,000,000.00","17,500,000.00",4,1,11,19.3,17.7,-1.6,0
Eric Gordon,20.5,24.4,-3.9,2.8,2.9,-0.1,2.1,3.6,-1.5,21.7,24.4,-2.7,2020,"75,574,356.00","18,893,589.00",4,1,12,10.3,14.5,4.2,0
Evan Fournier,8.8,19.1,-10.3,2.25,3.6,-1.35,2.1,2.9,-0.8,9.1,20.4,-11.3,2021,"73,000,000.00","18,250,000.00",4,1,9,16.3,12.3,-4,1
Frank Ntilikina,11.1,14,-2.9,3.9,4.6,-0.7,2.4,4,-1.6,13.4,17.3,-3.9,2021,"3,825,574.00","1,912,787.00",2,0,2,7.8,10.4,2.6,1
Gary Trent Jr.,19.4,21,-1.6,2.9,3.1,-0.2,1.8,2.3,-0.5,19.4,21.6,-2.2,2021,"51,840,000.00","17,280,000.00",3,0,1,12,14.7,2.7,1
Giannis Antetokounmpo,34.1,36.3,-2.2,13.3,14.1,-0.8,7.1,7,0.1,32.5,34.5,-2,2021,"228,200,420.00","45,640,084.00",5,1,8,29.2,32.1,2.9,1
Goran Dragic,20.1,5.75,14.35,5.1,2.5,2.6,6.6,3.75,2.85,24.6,9,15.6,2021,"728,742.00","728,742.00",1,0,13,13.1,16.2,3.1,1
Gordon Hayward,20.9,23.1,-2.2,8,6.9,1.1,4.9,4.8,0.1,21.6,24,-2.4,2020,"120,000,000.00","30,000,000.00",4,1,11,18.1,17.6,-0.5,0
Gorgui Dieng,9.4,16.6,-7.2,4.65,13,-8.35,2.1,3.7,-1.6,9.1,16.8,-7.7,2021,"4,000,000.00","4,000,000.00",1,0,9,19.2,17.4,-1.8,1
